INPUT_1_FACTSII_DBA,INPUT_1_RECORD_ID,INPUT_1_PREMISESADDRESS,INPUT_1_PREMISESCITYSTATEZIP,INPUT_1_BORO,OUTPUT_X_Coordinate,OUTPUT_Y_Coordinate,entity_ID,CUISINE
BUFFALO WILD WINGS,50005585,253 W 47TH ST,"NEW YORK, NY 10036-1412",MANHATTAN,988050,216134,50005585,Chicken
BUFFALO WILD WINGS,50016137,632 GATEWAY DR,"BROOKLYN, NY 11239-2823",BROOKLYN,1018531,176976,50016137,American
BUFFALO WILD WINGS,50019243,193 W 237TH ST,"BRONX, NY 10463-4102",BRONX,1011727,261451,50019243,American
BUFFALO WILD WINGS GRILL & BAR,50044197,13415 20TH AVE,"COLLEGE POINT, NY 11356-2428",QUEENS,1030104,224101,50044197,Chicken
BUHRE TOP TORTILLAS,50033493,3038 BUHRE AVE,"BRONX, NY 10461-4704",BRONX,1031009,248079,50033493,Tex-Mex
BULL & BEAR,50039306,301 PARK AVE,"NEW YORK, NY 10022-6844",MANHATTAN,991354,214945,50039306,American
BUNNA CAFE,50006264,1084 FLUSHING AVE,"BROOKLYN, NY 11237-1718",BROOKLYN,1004260,196158,50006264,Ethiopian
BURGER HEIGHTS,50055235,79 AUDUBON AVE,"NEW YORK, NY 10032-2246",MANHATTAN,1001462,245775,50055235,American
BURGER JOINT IC,50064419,220 36TH ST UNIT 111,"BROOKLYN, NY 11232-2427",BROOKLYN,982215,178297,50064419,American
BURGER KING,50034499,154 E 116TH ST,"NEW YORK, NY 10029-1301",MANHATTAN,1000545,230166,50034499,Hamburgers
BURGER KING,50034500,4015 QUEENS BLVD,"SUNNYSIDE, NY 11104-3301",QUEENS,1005302,210268,50034500,Hamburgers
BURGER KING,50043384,1607 WESTCHESTER AVE FRNT,"BRONX, NY 10472-2914",BRONX,1018783,241449,50043384,Hamburgers
BURGER KING,50044577,961 E 174TH ST,"BRONX, NY 10460-5060",BRONX,1015842,244143,50044577,Sandwiches
BURGER KING,50044948,146 DELANCEY ST,"NEW YORK, NY 10002-3325",MANHATTAN,987954,200876,50044948,Hamburgers
BURGER KING,50044949,325 BROADWAY,"NEW YORK, NY 10007-3632",MANHATTAN,982923,200134,50044949,American
BURGER LODGE,50043870,657 E 189TH ST,"BRONX, NY 10458-6212",BRONX,1016226,251377,50043870,American
BUSHWICK PIZZA PARTY,50033274,254 IRVING AVE,"BROOKLYN, NY 11237-5585 US",BROOKLYN,1007504,194320,50033274,Pizza
BUTTER & SCOTCH,50017845,818 FRANKLIN AVE,"BROOKLYN, NY 11225-1202",BROOKLYN,995833,183356,50017845,Bakery
BUTTER LANE,50015572,123 E 7TH ST,"NEW YORK, NY 10009-5747",MANHATTAN,988581,203929,50015572,Bakery
BUTTER RESTAURANT,50004379,70 W 45TH ST BSMT,"NEW YORK, NY 10036-4202",MANHATTAN,989355,214811,50004379,American
BY CHLOE,50061001,171 N 3RD ST,"BROOKLYN, NY 11211-4015",BROOKLYN,995419,199887,50061001,Vegetarian
Bangla Garden Restaurant,50015252,1864 WESTCHESTER AVE,"BRONX, NY 10472-3014",BRONX,1022059,242703,50015252,Bangladeshi
Bd J EXPRESS,50048217,1000S 8TH AVE STE 21,"NEW YORK, NY 10019-1861",MANHATTAN,989012,218650,50048217,Vegetarian
Bravo Pizza,50052785,360 7TH AVE,"NEW YORK, NY 10001-5011",MANHATTAN,986318,211932,50052785,American
Brooklyn Roasting Company,50059322,63 FLUSHING AVE UNIT 300,"BROOKLYN, NY 11205-1080",BROOKLYN,991186,193585,50059322,Caf&eacute;/Coffee/Tea
Buntopia,50059583,994 BROADWAY,"BROOKLYN, NY 11221-2403",BROOKLYN,1002627,192898,50059583,Caf&eacute;/Coffee/Tea
C BAO ASIAN BUNS& MORE,50048906,7320 GRAND AVE,"MASPETH, NY 11378-1524",QUEENS,1014857,205157,50048906,Chinese
C'MON EVERYBODY,50049061,325 FRANKLIN AVE,"BROOKLYN, NY 11238-1465",BROOKLYN,996151,190045,50049061,American
CABO RESTAURANT,50011777,3764 E TREMONT AVE,"BRONX, NY 10465-2433",BRONX,1033719,240197,50011777,Mexican
CAFE 2,50006345,11 W 53RD ST,"NEW YORK, NY 10019-5401",MANHATTAN,990566,216531,50006345,American
CAFE BARI,50047156,1033 AVENUE OF THE AMERICAS,"NEW YORK, NY 10018-5408",MANHATTAN,988220,213507,50047156,Caf&eacute;/Coffee/Tea
CAFE DE NOVO,50017261,94 1/2 GREENWICH ST,"NEW YORK, NY 10006-1810",MANHATTAN,980493,197251,50017261,American
